ts	phase	decision	why	evidence	result
2026-09-23T16:00:38Z	C	Round-3 test launched: 11 lanes (L1-L9 user-perspective + L10 parity fact-check), direct async pstack-general, briefs /tmp/pstack-ux3/briefs, partial reports per case	Comprehensive re-test of every skill, agent, playbook, X/Y/Z, the 7 fixes and the 0.15.3 port	/tmp/pstack-ux3/pre-sha.txt (575 files)	open
2026-09-23T16:35:41Z	D	Pin pi-subagents to 0.71.0 (installed version) in settings.json packages	Unpinned spec auto-updated mid-test and added the subagents_enable loader; freeze until the own extension replaces it	Pi docs packages.md:38 'Versioned npm specifications are pinned'	done
2026-09-23T16:35:42Z	D	Decision: replace pi-subagents with a small pstack-owned extension that implements Cursor's own primitive surface (Task, await, background shell with output notification, goals), then remove pi-subagents	pstack uses a bounded core (single async child, parallel fan-out, completion wake, restart survival, worktree/baseRef, nesting, goal continuation, interval/event wakes) of a 91,326-line package releasing every ~1.7 days; 7+ pstack workarounds exist only to neutralize it; Cursor's real surface (cursor-agent 2026.09.18 proto schemas) is small and Pi core provides spawn, detached runs, sendMessage triggerTurn, session_start, setActiveTools	/tmp/r3-own/explore-usage.md, explore-internals.md, explore-pi-core.md, cursor-cli-surface.md	decided
2026-09-23T16:42:09Z	D	Route every pstack role and agent default to openai-codex/gpt-6-luna:max; modelScope allow codex + opus-5-5 + inherit; relaunched 8 tester lanes and the design arena on codex (takeover of live sessions)	Parent session is anthropic/claude-opus-5-5 max; inherit-parent made all children burn the Claude team plan (40% of the 5 h cap)	PI_PROVIDER=anthropic PI_MODEL=claude-opus-5-5; status.json of new runs	done
2026-09-23T17:22:25Z	D	Arena pick: candidate 1 Cursor-literal base (Task, SubagentAwait, Shell+output_notification, Await, CreateGoal, UpdateGoal) + grafts from 2 (output/outputReference, model check, followUp delivery) and 3 (runner-sole-writer records, request keys, runner claims, startup running report)	Parity first; durability from 3; judge concurs	/tmp/arena-pstack-agents-1790181406/synthesis.md, /tmp/arena-pstack-agents-1790181406/cross-judge.md	decided
2026-09-23T18:13:59Z	C	Ported official 0.15.4 (cursor/plugins b0b9c7a, #419: 19 instructions cut): vendored upstream/0.15.4, current -> 0.15.4, git merge-file (12 clean, 3 hand-resolved in bug-fix/feature/refactoring keeping Pi model ids)	Keep parity with the current official release	sync-check 0.15.3->current 0 missing 0 stale; check-parity 0	VERIFIED
2026-09-23T18:41:50Z	D	modelScope allow = openai-codex/gpt-6-luna + inherit (Opus removed)	L8 k/m: codex Pi sessions sent cross-model reviews to explicit anthropic/claude-opus-5-5 and spent the Claude plan; only the operator's parent session may use Opus, which 'inherit' covers for its own children	L8 report case k events 315-420, case m 16:11:03Z	done
2026-09-23T19:47:08Z	C	Round-3 test complete: 57 PASS, 35 ISSUES, 1 INCOMPLETE; ~/.pi/agent changes during test are only the parent's own edits	Evidence audit of every lane report	/tmp/pstack-ux3/SUMMARY.md, pre-sha.txt diff	VERIFIED
2026-09-23T19:48:14Z	C	Q15 removed unjustified Pi additions: poteto-agent 'spawn only for fan-out your brief names' (conflicts upstream Feature step 4), autonomous-run goal-mission line, setup-pstack 'spread across families'; automate-me miners back to pstack-general (upstream: default agent-mode subagents)	L10 found them unlogged with no upstream basis	L10 report Parity UNJUSTIFIED list	done
2026-09-23T19:48:14Z	C	Q15 kept and justified: pstack-general 'spawn only for fan-out your brief names' (Pi-defined stand-in for generalPurpose; investigators and synthesizers must not fan out, as in Cursor where generalPurpose children cannot spawn); architect 'one runner per entry, list length is the floor' (makes upstream's configured-runner list count explicit, U3); multi-phase-plan plan-path re-read (plan lives outside the repo at ~/.pi/agent/pstack/docs, the Pi mapping of pstack/docs); make-bot-ui 127.0.0.1 bind + body cap + allowlist (local page by default, bind 0.0.0.0 only for a tailnet page; accepted rewrite); poteto-mode 'read the matched playbook before any other tool call' (U2: models skipped the playbook read); control-ui verify-<app> (cursor-team-kit verify-this is not ported; create-verification-skill makes verify-<app>)	Each is a Pi mapping or a logged fix	pi-runtime.md, fixes-round2.tsv U2 U3	decided
2026-09-23T19:48:14Z	C	Q25 broken-skill rule sharpened (skill is broken only when its own text references something that fails; otherwise the claim is false, change nothing); Q28 autopilot owners push and open the ready PR before design fan-out	L8-m created a file in the installed arena skill on a false claim; L9-auto first PR at 59-69 min	L8 m, L9-auto f/g	done
2026-09-23T21:24:14Z	C	Q30 keep 'name matches the directory' lines in automate-me and create-verification-skill	Pi docs skills.md:83: Pi does not enforce it, but matching names are the portable choice across Agent Skills implementations	docs/skills.md:83	decided
2026-09-23T21:25:07Z	C	pstack-agents reviewed (codex full review + parent spot-checks), 5 majors fixed by a fresh owner (50 tests, strict typecheck, live integrations 2/3/4 rerun, process-group kill proven), installed at ~/.pi/agent/extensions/pstack-agents alongside pi-subagents (no tool-name overlap)	Feature steps 4-5: review separation, verify on the real surface	/tmp/r3-own/build-review.md, build-fix-report.md, test-evidence/*-r2	VERIFIED
2026-09-23T21:25:07Z	C	Live extension fixes landed (named-skill injection, skills write guard, bash guard tokenizer, workflow deadline proxy, questionnaire Recommended, todo clone); parity lint hardened (20/20 mutations caught, reverse audit 338/338 inventoried)	Round-3 queue Q1-Q16, Q22, Q25	/tmp/r3-own/fix-ext-report.md, fix-lint-report.md	VERIFIED
2026-09-23T21:25:07Z	C	Migration started: 3 owners move skills and pi-runtime to Task/Shell/Await/CreateGoal/UpdateGoal, restoring upstream wording where it now runs literally; backup /tmp/pstack-pre-migration	Own runtime replaces pi-subagents	/tmp/r3-own/migrate-common.md	open
2026-09-23T22:36:36Z	C	MIGRATION: skills and pi-runtime moved from pi-subagents calls to pstack-agents tools (Task, SubagentAwait, Shell, Await, CreateGoal, UpdateGoal); upstream wording restored where it now runs literally	Own runtime replaces pi-subagents (decision D, arena pick)	/tmp/r3-own/migrate-common.md, migrate-A/B/C reports	done
2026-09-23T22:36:36Z	C	Official 0.15.5 fetched and vendored (cursor/plugins 12d587d, #422: model-rule reading unified, autopilot owner babysit, show-me-your-work run audit); port queued after migration owner A to avoid overlapping writers	Parity with the current official release	~/.pi/agent/pstack/parity/upstream/0.15.5	open
2026-09-24T00:41:22Z	C	Switch-over: official 0.15.5 ported (sync 0/0, full-audit 98.91%, 347/347 Pi additions justified, check-parity 0); pi-subagents removed from settings.json packages; pstack-resume, pstack-shell agent/script, and pi-subagents config retired to /tmp/pstack-pre-migration/retired; fresh headless Pi Task smoke returned SWITCH_OK	Own runtime replaces pi-subagents	/tmp/r3-own/port-0155-report.md; settings backup /tmp/pstack-pre-migration/settings.pre-switch.json	VERIFIED
2026-09-24T05:31:15Z	C	Live fixes during round 4: Comment Sicko resolvable (agent names may contain single spaces; pstack-agents test + install; real Task returned 'Yes... Ha ha ha... Yes!'); skills write guard takes intent only from the user's typed words, not an expanded <skill> body	R4-code-authoring e (Unknown agent) and a (guard bypassed via expanded poteto-mode body wrote into arena and no-comments)	dev repo commit; pstack/parity/round3-probes/skill-intent.test.ts	VERIFIED
2026-09-24T12:48:53Z	start	Rows from 2026-09-23T15:41:40Z through 2026-09-24T05:31:15Z were written by earlier runs.	This R4 skills-remainder Task is a new agent run continuing the existing decision log.	/Users/josh-desktop/.pi/agent/sessions/--Users-josh-desktop-.pi-agent--/2026-09-23T00-59-22-039Z_01a0cbc6-3e37-76ca-a99c-79d71bc3bfb0/634cae19-ec6d-53d4-9ac4-866ad45b3ea5/session.jsonl	open
2026-09-24T12:49:34Z	R4	R4-Q41: Each queue item gets its own PR and owner; the root chains those PRs in step 6.	R4 case f combined --version and stats into one PR and did not complete the separate linked PR.	/tmp/pstack-ux4/reports/R4-ship-auto.md:Q29; /tmp/pstack-ux3/fix-queue.md:54	decided
2026-09-24T12:49:34Z	R4	R4-privacy: make-bot-ui states that message text goes to the configured model provider.	The bot session runs locally, but its configured remote provider receives the prompt; the previous local-only claim was false.	/tmp/pstack-ux4/reports/R4-code-authoring.md:15,37	decided
2026-09-24T12:49:35Z	R4	R4-gap33: worktree-cleanup omits Cursor Application Support cleanup because Pi has no such store; Pi session and run data live under ~/.pi/agent/sessions.	Cursor state.vscdb and workspace snapshots have no Pi equivalent; keep cleanup scoped to Pi session and run data.	/tmp/pstack-ux4/R4-parity/gap-review.tsv:33; ~/.pi/agent/skills/poteto-mode/references/pi-runtime.md:51	decided
2026-09-24T12:49:35Z	R4	R4-shell: Shell omits Cursor sandbox and approval fields, structured notification debounce and limit, per-call description, and output threshold.	Pi has no sandbox or approval layer, and a sentinel regex covers pstack notification use; Pi Shell logs output and returns its path.	/tmp/pstack-ux4/R4-parity/schema-diff.md; ~/.pi/agent/extensions/pstack-agents/index.ts:60-67; ~/.pi/agent/extensions/pstack-agents/runs.ts:741-744	decided
2026-09-24T12:50:26Z	R4	R4-questionnaire: preserve the existing custom multi-select answer when tab navigation rebuilds an answer from option picks.	Rebuilding only from selected indices erased custom text; retaining the prior custom value when wasCustom is true avoids a public result-shape change.	/tmp/pstack-ux4/R4-parity/questionnaire-repro.json; pstack/parity/round3-probes/fp.test.ts; extensions/questionnaire.ts	Red before fix; green after the saveMultiAnswer change.
2026-09-24T12:59:03Z	R4	R4-task-schema: derive allowed Task object fields from the pstack-agents TypeBox TaskParameters schema and reject unknown fields in skills and agents.	The schema-derived check makes a renamed Task argument fail parity instead of reaching runtime.	/tmp/pstack-ux4/R4-parity/r4-skills-mutations.out; extensions/pstack-agents/index.ts:40-58; pstack/parity/check-parity.mjs	All six adapted mutations caught; clean and restored check-parity both report 0 problems.
2026-09-24T12:59:03Z	R4	R4-full-audit: return a failing exit status whenever the audit reports issues, without requiring --check.	Default audit invocations must fail on missing or unjustified Pi additions.	/tmp/pstack-ux4/R4-parity/r4-full-audit-exit.out; pstack/parity/full-audit.mjs	Clean default exits 0; missing and unjustified fixtures each exit 1 without --check.
2026-09-24T12:59:03Z	R4	R4 verification: requested skill, extension, parity, decision-log, and inventory changes are in place.	The complete verify gate proves the live extension behavior and parity state after the edits.	/tmp/pstack-ux4/R4-parity/r4-skills-verify.out	check-parity 0 problems; full-audit 349/349 inventoried; round3-probes 23 pass, 0 fail; questionnaire repro retains custom answer.
2026-09-24T13:01:25Z	R4	R4 review: the cross-model Task audit was blocked by modelScope.	settings.json allows child models only from openai-codex/gpt-6-luna or inherit; I left the global scope unchanged rather than weaken it for review.	/Users/josh-desktop/.pi/agent/settings.json; current session Task error	INCONCLUSIVE
2026-09-24T15:34:05Z	D	Opus 5.5 at low effort allowed for subagents as one seat per panel (arena runners, architect runners, interrogate reviewers) and in the arena cross-judge pool; modelScope admits anthropic/claude-opus-5-5:low only (max and unsuffixed rejected, test added); code writers stay codex max	Operator permission; a second model family where agreement is the signal (poteto-mode: a second opinion is the same prompt against a different model); low effort protects the Claude cap	AGENTS.md block; settings.json modelScope; scope-low.test.ts	done
2026-09-24T16:07:28Z	C	Q37 enforced: pstack-guards blocks read of poteto-mode/playbooks/* inside a Task child that is not a poteto-agent (PSTACK_AGENTS_DEPTH>0, PSTACK_AGENTS_AGENT set by the runner)	R4b a-why: investigators still loaded investigation.md despite the AGENTS.md sentence; prose was read and ignored twice	round3-probes/child-playbook.test.ts; real headless probe	VERIFIED
2026-09-24T16:09:23Z	C	Children now load pstack-guards (hook-only extensions were never selected by tool-based extension loading, so no guard applied inside any Task child); playbook fence verified in a real child: poteto-mode playbook read blocked, other skill reads allowed	Found while verifying Q37: the fence probe passed through because the child had no pstack-guards	pstack-agents commit 'Load hook-only guard extensions in every child'; 67 tests + typecheck; real headless probes	VERIFIED
2026-09-24T17:14:01Z	C	Root cause of subagent 'crash': the Task wait used fs.watch persistent:false with no timer, so in a headless child Node's event loop emptied and the process exited 0 mid-wait (keep-alive sockets sometimes held it ~300 s). Fix: persistent watcher plus a 2 s poll while a wait is pending	7 owner deaths in R4b autopilots, arena candidates, and both round-4 fix owners	pstack-agents commit 'Keep a headless child alive while a Task wait is pending'; real proof: background owner waited 5m38s on a 330 s child and got SLEPT_OK	VERIFIED
