file	sentence-prefix	reason	decision-ref
skills/automate-me/SKILL.md	Each Task prompt names the workspace-scoped transcript path the parent provides.	Pi scopes transcripts and run data to the active workspace session; Pi runs the prescribed delegation through the pstack-agents Task and run lifecycle	pi-runtime.md:45-52; round3-decisions.tsv#MIGRATION; pi-runtime.md:5-7; pi-runtime.md:13-24
skills/automate-me/SKILL.md	Ask structured multi-choice questions with the `questionnaire` tool (lettered options in chat when it reports no UI), rather than asking the user to type from s	Questionnaire, workspace transcript, and default-agent mappings replace Cursor AskQuestion and agent-transcripts.	pi-runtime.md:21-26; pi-runtime.md:93-98; decisions.tsv#8; round3-decisions.tsv#Q15
skills/automate-me/SKILL.md	The frontmatter `name` must be `<handle>-mode`, lowercase letters, digits, and hyphens only, matching the directory.	Pi skills doc: a declared name that matches the parent directory is the portable choice across Agent Skills implementations	round3-decisions.tsv#Q30
skills/automate-me/SKILL.md	In Pi, an every-turn mode also needs a one-line pointer in `~/.pi/agent/AGENTS.md`, since Pi has no sticky modes.	Questionnaire, workspace transcript, and default-agent mappings replace Cursor AskQuestion and agent-transcripts.	pi-runtime.md:21-26; pi-runtime.md:93-98; decisions.tsv#8; round3-decisions.tsv#Q15
skills/create-verification-skill/SKILL.md	Write `.pi/skills/verify-<app>/SKILL.md` with YAML frontmatter (`name: verify-<app>` and a `description` that names the app, the surface, and when to reach for 	Project-local Pi skill paths and non-executing discovery use the logged Pi CLI adaptation.	pi-runtime.md:104-113; decisions.tsv#5
skills/create-verification-skill/SKILL.md	Keep it equal to the directory name for portability) and these sections, each grounded in what the interview actually found (no placeholders left):	Pi skills doc: a declared name that matches the parent directory is the portable choice across Agent Skills implementations	round3-decisions.tsv#Q30
skills/create-verification-skill/SKILL.md	Check discovery in a fresh Pi process without executing the skill: from the repo root run `pi --print --no-session --no-tools "/skill:verify-<app> Do not act.	Project-local Pi skill paths and non-executing discovery use the logged Pi CLI adaptation.	pi-runtime.md:104-113; decisions.tsv#5
skills/create-verification-skill/SKILL.md	Reply only LOADED." 2>&1 | head -40`, and confirm there are no skill warnings and no unknown-command reply.	Project-local Pi skill paths and non-executing discovery use the logged Pi CLI adaptation.	pi-runtime.md:104-113; decisions.tsv#5
skills/create-verification-skill/SKILL.md	`--no-tools` keeps the check from launching the app or touching files.	Project-local Pi skill paths and non-executing discovery use the logged Pi CLI adaptation.	pi-runtime.md:104-113; decisions.tsv#5
skills/create-verification-skill/SKILL.md	Tell the user to run `/reload` so the current session sees the skill.	Project-local Pi skill paths and non-executing discovery use the logged Pi CLI adaptation.	pi-runtime.md:104-113; decisions.tsv#5
skills/figure-it-out/SKILL.md	Loading this skill authorizes the Task calls it prescribes.	Pi runs the prescribed delegation through the pstack-agents Task and run lifecycle	pi-runtime.md:5-7; pi-runtime.md:13-24; round3-decisions.tsv#MIGRATION
skills/how/SKILL.md	Loading this skill authorizes the Task calls it prescribes.	Pi runs the prescribed delegation through the pstack-agents Task and run lifecycle	pi-runtime.md:5-7; pi-runtime.md:13-24; round3-decisions.tsv#MIGRATION
skills/how/SKILL.md	For a configured `inherit-parent` or `auto` model, omit `model` so Task uses the parent model.	Pi model roles use the AGENTS.md pstack block and upstream model defaults map to Pi model ids; Pi runs the prescribed delegation through the pstack-agents Task and run lifecycle	pi-runtime.md:58-66; pi-runtime.md:81-85; fixes-round2.tsv#U3; round3-decisions.tsv#Q15; pi-runtime.md:5-7; pi-runtime.md:13-24; round3-decisions.tsv#MIGRATION
skills/how/SKILL.md	Spawn all explorers in a single message, with one Task per angle:	Pi runs the prescribed delegation through the pstack-agents Task and run lifecycle	pi-runtime.md:5-7; pi-runtime.md:13-24; round3-decisions.tsv#MIGRATION
skills/interrogate/SKILL.md	Loading this skill authorizes the reviewer Task calls it prescribes.	Pi runs the prescribed delegation through the pstack-agents Task and run lifecycle	pi-runtime.md:5-7; pi-runtime.md:13-24; round3-decisions.tsv#MIGRATION
skills/interrogate/SKILL.md	Reviewer A and C use the Anthropic family; Reviewer B uses the OpenAI Codex family.	Pi-specific workflow clarification is carried from the logged pstack migration	pi-runtime.md:5-7; round3-decisions.tsv#MIGRATION
skills/maintain-verification-skill/SKILL.md	**Source wave.** Launch one read-only Task per feature file, all in one message, with `subagent_type: "generalPurpose"` and `readonly: true`.	Pi runs the prescribed delegation through the pstack-agents Task and run lifecycle	pi-runtime.md:5-7; pi-runtime.md:13-24; round3-decisions.tsv#MIGRATION
skills/maintain-verification-skill/SKILL.md	Loading this skill authorizes that wave.	The verification wave uses the Pi read-only child and non-executing skill discovery.	pi-runtime.md:21-26; decisions.tsv#5
skills/make-bot-ui/SKILL.md	A server on this computer receives the click and wakes a local Pi bot session with that JSON.	Accepted local Pi-session rewrite of the cloud webhook routine, including headless CLI, session, and local-server behavior.	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	This replaces a cloud webhook routine.	Accepted local Pi-session rewrite of the cloud webhook routine, including headless CLI, session, and local-server behavior.	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	The bot's model runs on the configured provider, so message text goes to that provider.	The configured provider receives message text even when the Pi session and web server run locally; credentials stay on the server.	round3-decisions.tsv#R4-privacy
skills/make-bot-ui/SKILL.md	Keep every credential on the server.	Pi has no secret connector; the local server holds the credential and the bot cannot reach it	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	The routine is a persistent Pi session plus a prompt file.	Accepted local Pi-session rewrite of the cloud webhook routine, including headless CLI, session, and local-server behavior.	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	It lives in the UI's own directory.	Accepted local Pi-session rewrite of the cloud webhook routine, including headless CLI, session, and local-server behavior.	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	Pick a kebab-case slug for the routine.	Accepted local Pi-session rewrite of the cloud webhook routine, including headless CLI, session, and local-server behavior.	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	Use it for the directory under Pi's agent directory (`$PI_CODING_AGENT_DIR`, default `~/.pi/agent`): `~/.pi/agent/pstack/bots/<slug>/`.	Accepted local Pi-session rewrite of the cloud webhook routine, including headless CLI, session, and local-server behavior.	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	Write `routine.md` there.	Accepted local Pi-session rewrite of the cloud webhook routine, including headless CLI, session, and local-server behavior.	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	Pick the session: `--session-dir $BOT/sessions --session-id <slug>`, run with cwd `$BOT` (`~/.pi/agent/pstack/bots/<slug>/`).	Accepted local Pi-session rewrite of the cloud webhook routine, including headless CLI, session, and local-server behavior.	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	`--session-id` creates the session on the first wake, and every later wake appends to it, so the bot keeps its memory across wakes.	Accepted local Pi-session rewrite of the cloud webhook routine, including headless CLI, session, and local-server behavior.	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	Pick the reply channel.	Accepted local Pi-session rewrite of the cloud webhook routine, including headless CLI, session, and local-server behavior.	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	The bot's final text goes to `~/.pi/agent/pstack/bots/<slug>/replies.log`, and the page may show the newest entry.	Accepted local Pi-session rewrite of the cloud webhook routine, including headless CLI, session, and local-server behavior.	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	Use a desktop notification (`osascript -e 'display notification ...'` on macOS, `notify-send` on Linux) only if the user asks.	Accepted local Pi-session rewrite of the cloud webhook routine, including headless CLI, session, and local-server behavior.	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	Show the user `routine.md` and wait for approval before the first wake.	Accepted local Pi-session rewrite of the cloud webhook routine, including headless CLI, session, and local-server behavior.	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	The routine runs tools unattended.	Accepted local Pi-session rewrite of the cloud webhook routine, including headless CLI, session, and local-server behavior.	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	The server wakes the bot with one headless Pi run per event:	Accepted local Pi-session rewrite of the cloud webhook routine, including headless CLI, session, and local-server behavior.	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	cd "$BOT" && pi --print --session-dir "$BOT/sessions" --session-id "<slug>" "$(cat "$BOT/routine.md")	Accepted local Pi-session rewrite of the cloud webhook routine, including headless CLI, session, and local-server behavior.	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	{\"body\": <JSON string>, \"body_digest\": \"<sha256>\", \"timestamp_ms\": <ms>}	Accepted local Pi-session rewrite of the cloud webhook routine, including headless CLI, session, and local-server behavior.	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	Pass the prompt as one argv element from the server's process API, never through a shell string built from the body.	Accepted local Pi-session rewrite of the cloud webhook routine, including headless CLI, session, and local-server behavior.	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	Run one wake at a time per routine.	Accepted local Pi-session rewrite of the cloud webhook routine, including headless CLI, session, and local-server behavior.	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	Take an exclusive lock on `$BOT/wake.lock` before each run, since two runs on one session file corrupt it.	Accepted local Pi-session rewrite of the cloud webhook routine, including headless CLI, session, and local-server behavior.	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	Keep Task calls in the foreground so each call waits for its child.	Pi runs the prescribed delegation through the pstack-agents Task and run lifecycle	pi-runtime.md:5-7; pi-runtime.md:13-24; round3-decisions.tsv#MIGRATION
skills/make-bot-ui/SKILL.md	Do not call `CreateGoal`, which requires an interactive TUI or RPC session.	Pi maps background polling and wake behavior to monitored Shell tasks and its goal tools	pi-runtime.md:23-24; pi-runtime.md:30-41; round3-decisions.tsv#MIGRATION
skills/make-bot-ui/SKILL.md	Pass an explicit `--tools` allowlist for the tools the routine needs.	Pi has no secret connector; the local server holds the credential and the bot cannot reach it	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	For credentialed routines, exclude `bash` and `Shell` so the bot cannot invoke the credential store.	Pi has no secret connector; the local server holds the credential and the bot cannot reach it	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	Give each run a timeout of 10 minutes and one try, no retry.	Accepted local Pi-session rewrite of the cloud webhook routine, including headless CLI, session, and local-server behavior.	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	The server returns HTTP 202 as soon as the event is queued.	Accepted local Pi-session rewrite of the cloud webhook routine, including headless CLI, session, and local-server behavior.	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	It does not wait for the bot.	Accepted local Pi-session rewrite of the cloud webhook routine, including headless CLI, session, and local-server behavior.	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	Confirm a new entry in the session file under `$BOT/sessions/`.	Accepted local Pi-session rewrite of the cloud webhook routine, including headless CLI, session, and local-server behavior.	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	If a wake can fail, append the same JSON to `$BOT/inbox.jsonl` and let the next wake drain it.	Accepted local Pi-session rewrite of the cloud webhook routine, including headless CLI, session, and local-server behavior.	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	Save media to `$BOT/media/` and send the path.	Accepted local Pi-session rewrite of the cloud webhook routine, including headless CLI, session, and local-server behavior.	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	Keep a credential server-side	Pi has no secret connector; the local server holds the credential and the bot cannot reach it	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	Some routines need a credential, such as an API token.	Pi has no secret connector; the local server holds the credential and the bot cannot reach it	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	Do not accept it in chat or ask the user to reveal it.	Pi has no secret connector; the local server holds the credential and the bot cannot reach it	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	Tell the user to store it in their OS credential store:	Pi has no secret connector; the local server holds the credential and the bot cannot reach it	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	security add-generic-password -a "<slug>" -s pstack-bot -w	Pi has no secret connector; the local server holds the credential and the bot cannot reach it	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	secret-tool store --label="pstack-bot" service pstack-bot account "<slug>"	Pi has no secret connector; the local server holds the credential and the bot cannot reach it	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	Name one fixed, narrow action in `routine.md`, including its allowed inputs and API operation.	Pi has no secret connector; the local server holds the credential and the bot cannot reach it	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	The local page server validates that action, retrieves the credential with	Pi has no secret connector; the local server holds the credential and the bot cannot reach it	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	Capture the credential in memory only; do not invoke the lookup through a shell string or log its output.	Pi has no secret connector; the local server holds the credential and the bot cannot reach it	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	Event fields must not select arbitrary URLs, methods, or headers.	Pi has no secret connector; the local server holds the credential and the bot cannot reach it	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	Return only the minimum nonsensitive action result to the bot; the credential never enters its environment, arguments, event, files, or output.	Pi has no secret connector; the local server holds the credential and the bot cannot reach it	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	The server, not the browser, wakes the bot.	Accepted local Pi-session rewrite of the cloud webhook routine, including headless CLI, session, and local-server behavior.	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	Bind the server to `0.0.0.0:<port>` only when the page goes on the tailnet.	Accepted local Pi-session rewrite of the cloud webhook routine, including headless CLI, session, and local-server behavior.	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	Otherwise bind `127.0.0.1`.	Accepted local Pi-session rewrite of the cloud webhook routine, including headless CLI, session, and local-server behavior.	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	The page POSTs to the server with:	Accepted local Pi-session rewrite of the cloud webhook routine, including headless CLI, session, and local-server behavior.	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	The server rejects bodies over 64 KiB and fields the routine does not name.	Accepted local Pi-session rewrite of the cloud webhook routine, including headless CLI, session, and local-server behavior.	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/make-bot-ui/SKILL.md	The bot does not see a secret in the wake prompt.	Pi has no secret connector; the local server holds the credential and the bot cannot reach it	round3-decisions.tsv#Q15; pi-runtime.md:67; pi-runtime.md:74-77; pi-runtime.md:93-98; pi-runtime.md:112
skills/no-comments/SKILL.md	Snapshot the scope first, so step 2 can see what Comment Sicko changed even in uncommitted files: `mkdir -p /tmp/no-comments-<slug>/before && git ls-files -m -o	Comment Sicko runs foreground; the parent snapshots scope and counts the handoff diff.	decisions.tsv#7; fixes-round2.tsv#U8
skills/no-comments/SKILL.md	Then launch one Task with `subagent_type: "Comment Sicko"`.	Pi runs the prescribed delegation through the pstack-agents Task and run lifecycle	pi-runtime.md:5-7; pi-runtime.md:13-24; round3-decisions.tsv#MIGRATION
skills/no-comments/SKILL.md	Loading this skill authorizes that Task call.	Pi runs the prescribed delegation through the pstack-agents Task and run lifecycle	pi-runtime.md:5-7; pi-runtime.md:13-24; round3-decisions.tsv#MIGRATION
skills/no-comments/SKILL.md	Its diff is the scoped files against the step 1 snapshot (`git diff --no-index /tmp/no-comments-<slug>/before/<path> <path>` per file), not `git diff` against H	Comment Sicko runs foreground; the parent snapshots scope and counts the handoff diff.	decisions.tsv#7; fixes-round2.tsv#U8
skills/no-comments/SKILL.md	Count deletions from that diff and report the count it shows, even when it disagrees with Comment Sicko's report.	Comment Sicko runs foreground; the parent snapshots scope and counts the handoff diff.	decisions.tsv#7; fixes-round2.tsv#U8
skills/poteto-mode/SKILL.md	*Pi runtime.** Read `references/pi-runtime.md` once per session before your first `Task`, `Shell`, goal, or todo list.	Pi maps background polling and wake behavior to monitored Shell tasks and its goal tools; Pi runs the prescribed delegation through the pstack-agents Task and run lifecycle	pi-runtime.md:23-24; pi-runtime.md:30-41; round3-decisions.tsv#MIGRATION; pi-runtime.md:5-7; pi-runtime.md:13-24
