ts	phase	decision	why	evidence	result
2026-09-15T18:39:43.233Z	defect-followup-queue	Treat the doubled TUI follow-up queue (completion notice + a second queued poteto-mode skill body, one pair per background job) as a symptom of the same re-entrancy defect, and add a conformance assertion that a child completion adds exactly one follow-up and no skill-body follow-up	The user-visible queue is the contract for "how many times does the agent get woken", so it must be asserted, not just reasoned about; the pairing pattern is deterministic evidence of the mechanism.	user screenshot 2026-09-15 11.38.42 shows 7 pstack_spawn background complete rows each paired with a Follow-up whose text is <skill name="poteto-mode" location=...SKILL.md>; status line reads poteto:babysit readonly (matches measured self-match loadPotetoStickyBody()->babysit/28)	root cause = extension-sourced input re-entered the matcher and force-invoked again; source gate commits 2526a7f + 7a5aa11 verified; transform mechanism in flight (bg-14)
2026-09-15T18:40:47.778Z	defect-child-routing	Queue a fix scoping sticky playbook routing to non-child sessions (children keep only the explicit /skill:poteto-mode path)	A child brief is the parent's plan. Letting the child's own brief text select a playbook can route a general-purpose child into a side-effecting playbook (babysit/shipping) the parent never authorized.	child-runner.ts:331-332 sets poteto-agent prompts to /skill:poteto-mode <task> and leaves other roles with the raw brief; child-runner.ts:375 exports PSTACK_CHILD_ROLE; extensions/index.ts guards ONLY the readonly arm with it, so the match/arm/force-invoke block runs in children; bg-2 (role=general) partial output: "I'll start by opening the investigation playbook and setting up my todo list."	new finding beyond the 25 in .pi/audit-findings.md; fix serialized after bg-14 to avoid two writers on extensions/index.ts
2026-09-15T18:44:29.841Z	defect-followup-queue	Treat every turn carrying extension provenance (queued follow-up notices, sticky skill-body injections) as machine output, never as user instructions; only the human's own authored turns drive the plan	An agent that obeys text it injected itself is unsteerable, and the queue turned one bug into a self-feeding loop. Provenance has to be the gate, not the wording.	user confirmed the pasted notice/injection turns are not theirs; transcript shows source=extension input events firing 1-2ms after each child onComplete with no user message at those timestamps; injected text contained playbooks/investigation and playbooks/bug-fix routing the human never asked for	routing instructions inside those turns declined in-thread; PR #1 gate + transform remove the re-match and the extra queued turn
2026-09-15T18:44:54.408Z	defect-loop-exitcode	Queue the loop exit-code fix (heartbeat startWatcher must branch on result.code and use a distinct watcher-blocked reason) behind bg-15, since both edit extensions/heartbeat/index.ts	A watcher that treats a BLOCKER exit the same as a green exit makes the loop's finish condition unfalsifiable, which defeats the whole point of arming it.	extensions/heartbeat/index.ts:96-115 uses result only for stdout/stderr then unconditionally calls fire(state,"watcher"); only a rejected promise reaches fire(state,"watcher-error"); terminated by state.fires>state.maxFires, blind to the predicate	verified by reading the real code path; serialized after bg-15 to avoid two writers on one file
2026-09-15T18:48:47.687Z	parity-matrix-classification	Classify Pi-side gaps in built-ins (MCP, sub-agents, background bash, plan mode, to-dos) as ADAPTED-EQUIVALENT or a declared prerequisite, and reserve HOSTED-CAPABILITY-REQUIRED for things needing a remote host (Cloud VMs, Automations/Slack bus, marketplace)	The host's own stated design puts those capabilities in the extension/package layer, which is exactly where this port implemented sub-agents. Treating them as ceilings would mislabel achievable work as impossible.	installed pi usage.md:309 "It intentionally does not include built-in MCP, sub-agents, permission popups, plan mode, to-dos, or background bash. You can build or install those workflows as extensions or packages, or use external tools such as containers and tmux."; refutes the S6 report's claim that recall's shared-record sweep is permanently 0% reachable	recall shared-record half = HOSTED-CAPABILITY-REQUIRED with an MCP-providing package as the named prerequisite, not APPROVED-EXCEPTION; matrix rows to be checked against this on review of bg-17
2026-09-15T19:22:59.733Z	architect-phase-d	Pick gpt5 as the arena base; graft opus's temp-root/timeout/fixtures/L7-gate and sonnet's runner flags; hard-reject vitest and the invented APIs.	The cross-judge picked sonnet on structure, but sonnet requires a new devDependency (rubric 5) and carries fabricated API calls (execute_command, session.sendUserMessage) that cannot run, so its data flow is untestable. gpt5 is grounded in the real SDK surface and already zero-dependency; opus's grafts close gpt5's gaps (fixtures, per-layer timeouts, a real L7 gate).	.pi/architecture/design-synthesis.md; candidates at .pstack-worktrees/auto-1789499738699-0-2z7qqz/design-sonnet.md, auto-1789499738758-1-oizj6n/design-gpt5.md, auto-1789499738809-2-y82d02/design-opus.md; cross-judge transcript in arena reply	Synthesis contract written; freeze point for tests/support before layer fan-out
2026-09-15T19:34:34.285Z	checkpoint-v2	Freeze tests/support + registry + runner after one review round that fixed 6 real defects; keep the two event streams separate and make link-peers refuse to replace non-symlinks.	The delegate's round-1 self-report claimed parity:check passed when it exited 1, so every acceptance claim needed re-running. The fix round measured rather than claimed, and found a fifth defect (per-test timer leak).	tests/support/*.mjs; tests/runner.mjs; tests/registry.mjs; defect evidence: parity:check exit 1 before port/port.mjs walk fix (node_modules), rpc-client sent {type:prompt,text}, session.mjs passed nonexistent additionalExtensionFactories, tmux driver shell-quoted, request() leaked a 30s timer (layer 5 30.2s -> 0.64s)	All of layer 1 and layer 2 green; 4 layer workers fanned out on disjoint files; support surface frozen
2026-09-15T19:44:49.587Z	ship	Ship the 7-layer test setup as PR #4 on feature/seven-layer-test-setup, 5 ordered commits, each verified green in a fresh worktree; no babysit started.	Feature step 8 runs Opening a PR; babysit starts only when the user asks, and the repo has no checks to watch.	npm test exit 0 x2, 61 new tests (37/13/2/1/6/2) + legacy (41 checks, 52 tests), 0 temp leak, per-layer exit 0, deliberate-failure exit 1, parity 0 undeclared; PR https://github.com/just-joshn/pi-pstack/pull/4	PR #4 open against master, 5 commits, no CI configured in repo
2026-09-15T20:10:24.134Z	frame	Treat "strict AGENTS.md adherence" as a mechanical gate on project-owned code (extensions/, tests/, port/), with the byte-pinned ported tree (skills/, agents/, automations/, docs/) report-only.	port/port.mjs proves ported files equal upstream pstack c1c0a32 + declared bindings; restyling them would break the project's central invariant. Owned code is 5,343 lines in extensions plus tests/port and fully ours.	.pi/architecture/conformance-grounding.md; .pi/conformance/audit.json baseline; parity:check exit 0 (103 identical/48 bound/2 override/0 drift)	Scope fixed; gate-first harness is the next unit
2026-09-15T20:17:51.971Z	P0-gate	Build the checker first (tests/conformance.mjs + rules/scan/collect modules + 9 unit tests), baseline 244 violations in 38 owned files, then fix per unit.	A mechanical, re-runnable predicate is the only way "strictly adheres" becomes falsifiable; hand review of 5k+ lines is not.	commit af97639; .pi/conformance/baseline.json; tests/layers/01-unit/conformance.test.ts (9 pass); npm run conformance exits 1 at baseline	Gate green on itself; repo gate red by design until the sweep lands
2026-09-15T20:24:37.000Z	P1-index-split	Split the 315-line piPstack() root into poteto-state + readonly-state feature modules with pure reducers returning {state,effects}; effects applied by one applier	Arena (opus base, gpt5+sonnet grafts) won on reader load and unit-testability; review caught two behavior changes: hook order (readonly registered first) and a dropped teardown guard, both fixed and tested	pstack/p1-index-split ca217e5+234d77b; 62 layer-1 tests, layers 2/5/6 green; conformance 244->241	Merged to refactor/agents-md-conformance; extensions/index.ts 361->47 lines
2026-09-15T20:37:16.886Z	P6-encode	Enforce the rules with a zero-dependency checker as layer 0 of npm test; scope the pinned ported tree to warn-only and say so in AGENTS.md.	The port invariant (ported bytes == upstream + bindings) is the project's central contract; restyling upstream files would break it. Everything else is enforced with no exceptions.	tests/conformance.mjs + tests/support/conformance/*.mjs; 9 self-tests; commits af97639, a5c1db4, 49e4f30; npm test green with layer 0	Owned code: 0 violations. Ported tree reported, not enforced.
2026-09-15T20:40:35.070Z	ship	Ship as PR #6: one branch, ordered commit stack, 15 commits; coverage tests added after the sweep; deslop applySafe for added banner comments.	A single invariant enforced by one gate; intermediate stacked PRs would each leave the conformance script red while the sweep is in flight.	https://github.com/just-joshn/pi-pstack/pull/6; npm test green (layer 0 + 1-6 + legacy); parity 0 drift; layer-1 coverage 82.8% lines	PR open against master, not a draft; no babysit started
2026-09-15T21:00:09Z	spec-frame	Deliverable is a reverse-engineered port spec that another AI implements from, written into pi-pstack (the implementation repo); upstream Cursor pstack at c1c0a32 / v0.15.2 is normative	The consumer is a builder with no prior context; the implementation repo is the only place the spec and its gates can live together and stay falsifiable	upstream pin c1c0a32; pi-pstack branch refactor/agents-md-conformance at 7f9b344; PARITY.md, port/, tests/ exist	frame fixed; how phase started
2026-09-15T21:00:09Z	spec-how	Four disjoint read-only explorers: upstream surface, runtime contract, parity infrastructure, Pi host model	One explorer per independent slice keeps evidence pointers independent and keeps bulk findings out of the parent context	jobs bg-1..bg-4 at session start 20:57Z	explorers running
2026-09-15T21:06:40Z	spec-how-2	Re-ran the how synthesis on gemini after anthropic 429 and xai credit failures; probes confirmed openai/gpt-5, antigravity/gemini-3.1-pro, deepseek/deepseek-v4-pro as working providers	The synthesis needs a different model family from the deepseek explorers; provider availability was measured, not assumed	.pi/pstack-child-sessions/c-mu35t450..452 (probe transcripts); .pi/spec/grounding.md	grounding.md written (70 lines); xai out of credits, anthropic rate-limited
2026-09-15T21:06:41Z	spec-architect	Arena with three candidates (gpt-5, gemini-3.1-pro, deepseek-v4-pro) in dedicated worktrees, cross-judged by gpt-6-astra, to pick the deliverable artifact-set design	The artifact shape (doc vs doc+registry+checker vs suite-first) is the load-bearing decision; the playbook forbids folding it silently into implementation	.pi/spec/arena-prompt.md; worktrees .pstack-worktrees/spec-arena-{1,2,3}	arena running
2026-09-15T21:15:54.344Z	review	Run the independent review on deepseek-flash:max against materialized diff files; fix all six regressions it found and split the 12 long functions its scanner finding exposed.	The first reviewer run could not read git history with a read-only toolset, so the diff was materialized to files; Flash at max effort found real regressions and a gate blind spot that the test matrix missed.	.pi/review/{commits.txt,full.diff,binding-equivalence.txt}; commits aab75f7, 1c5a556, 151a060..a409a20, fff9b17; rpc.next regression pinned by a layer-5 test that fails on the pre-fix helper	PR #6 updated at 26 commits; layer 0 reports 0 violations with the stricter scanner; npm test green
2026-09-15T21:15:59Z	spec-synthesis	Froze the artifact set: spec/SPEC.md + surfaces.tsv + mechanisms.tsv + five contracts/*.tsv ledgers + spec-check.mjs; coverage = V/(T-E) with 100% <=> U=0 and D=0	Cross-judge required behavioral coverage (not (V+E)/T), a mechanism-disposition table for upstream completeness, a twin surface per exclusion, and structural integrity kept separate from proof execution	.pi/spec/design-synthesis.md; arena verdict (base deepseek, grafts from gpt5/gemini/cross-judge)	design frozen; 6 writers launched
2026-09-15T21:15:59Z	spec-writers	Six disjoint writers: SPEC+surfaces+mechanisms (deepseek-v4-pro), content+core ledgers (gemini-3.1-pro), subagents ledger (gpt-5), shipping ledger (deepseek-v4-pro), companions+ceiling ledger (gemini-3.1-pro), checker (gpt-5)	Disjoint files by construction; the ledger is split so no two writers append to one TSV	jobs bg-11..bg-16	writers running
2026-09-15T21:43:57Z	spec-writers-2	Re-ran the subagents ledger writer fresh after the first draft came back generic (every row UNVERIFIED, every reference a dash) and the rewrite job was interrupted	A ledger whose rows do not name real code or real tests cannot be reviewed or built against; the checker alone cannot catch invented obligations	spec/contracts/subagents.tsv 45 rows: 12 VERIFIED, 29 UNVERIFIED, 4 DEFECT; checker exit 0	every row carries a path:line and the four DEFECT rows name findings #1, #6, and two local slugs
2026-09-15T21:43:57Z	spec-review-fixes	Review fixes: dropped content-02 (admissibility rule moved to SPEC §9), reclassified sticky-12 VERIFIED as every-turn injection, worktree-14 to the conservative cleanup contract, removed ship-10 (strict contract already stated by ship-04..07), fixed the readonly-09 citation, normalized mechanism labels, added a ledger-to-mechanisms integrity check	A row that claims verification it does not have corrupts the coverage number; a divergence that is a deliberate Pi choice belongs in SPEC §4, not a DEFECT row	node spec/spec-check.mjs; spec/SPEC.md section 4 divergence table	checker green; D dropped 15 to the 15 real findings
2026-09-15T21:43:57Z	spec-docs	Single-sourcing edits landed in PARITY, README, tests/README, port/README, AGENTS, CHANGELOG, package.json, tests/conformance.mjs, and the legacy docs-sync check	One source of truth per claim: the spec owns live status; PARITY is the historical scorecard; README keeps install and usage only	git diff c8ae35d...HEAD; extensions/test/verify-local-partials.mjs	docs commit 50e7e62; legacy suite green
2026-09-15T21:43:58Z	spec-verify	Measured on the branch tip: spec-check 228 rows V=57 U=144 D=15 E=12 coverage 26.39 percent, conformance 0 violations, npm test exit 0 across layers 0-6 plus legacy, parity:check exit 0 with 103 identical and 48 bound	Prove It Works: every claim in the reply is a command run at the shipped commit, not a writer summary	.pi/spec/npm-test-head.log; npm run parity:check output	all gates green
2026-09-15T21:43:58Z	spec-ship	Opened PR 7 stacked on PR 6, three ordered commits; no babysit started	The repo is a stack; the child branch targets the parent branch per the opening-a-pr playbook, and opening a PR does not start a babysit	https://github.com/just-joshn/pi-pstack/pull/7	open, ready for review
2026-09-15T21:44:41Z	spec-comment-review	Comment Sicko found 23 narration lines in spec-check.mjs (header plus 13 banners) and flagged a phantom reference to a design file outside the repo; applied the trim as a follow-up commit	Banners restate function names and the header claimed constraints the conformance gate already enforces; a shipped spec must not cite a file a reader cannot resolve	.pi/spec/pr.diff; commit f9bba23	23 lines removed; header now documents flags and exit codes; checker and conformance green
2026-09-15T21:46:06Z	spec-fresh-eyes	Fresh-eyes review of spec/ alone confirmed the loop surface is buildable and found one real inconsistency (fix@local undocumented) plus two clarity gaps (proof sufficiency, ceiling row location); fixed in commit 2e38adf	Testing the deliverable on a stand-in builder is the only check that answers can another AI build from it	.pi/pstack-child-sessions/c-mu379fgd-252c0c9d; commit 2e38adf	two doc fixes shipped; the spawn-rows gap was an artifact of the reviewer brief, not the ledger
2026-09-15T21:46:06Z	spec-ship-2	Final state at 2e38adf: spec-check 228 rows V=57 U=144 D=15 E=12 coverage 26.39 percent; conformance 0; npm test exit 0; parity:check 0 drift; PR 7 has 5 commits	Every number in the reply is a command run at the shipped commit	.pi/spec/npm-test-ship.log; PR 7	all gates green; awaiting the trail review
2026-09-15T21:47:31Z	spec-trail-review	Trail review flagged the absolute PI prefix, the tool-scan brittleness, and thin job-name evidence; fixed the scan-limit text and recorded the review outcome; dismissed the fabricated-run verdict with the child transcripts as evidence	Triage each flag on merits: the absolute prefix already carries a resolve command, the scan limit is real and cheap to state, and the model-availability claim is contradicted by the run artifacts	.pi/spec/pr-body.md; .pi/pstack-child-sessions/c-mu379fgd-252c0c9d (fresh-eyes transcript); commit pushed	one doc fix; two dismissals recorded
2026-09-15T21:48:37Z	spec-evidence-repair	Supersede the thin job-id evidence in spec-how, spec-how-2, and spec-writers with durable paths: the explorer reports .pi/spec/explorer-{1..4}-*.md, the synthesis .pi/spec/grounding.md, the arena records .pi/spec/arena-{gpt5,gemini,deepseek}.md, the frozen design .pi/spec/design-synthesis.md, and the child transcripts .pi/pstack-child-sessions/c-<job>	Job ids are session-scoped and will not resolve after a restart, so they were a pointer to nothing; the trail review was right about that one and wrong about its verdict	trail review bg-6-mu37bjnx; .pi/spec/ listing	evidence pointers now resolve; the local .pi tree is gitignored by design
2026-09-15T21:48:37Z	spec-rule-count	The trail's build row (17:57Z) records 112 binding rules from the earlier port session; today's parity:check measures 134 because the binding table was split into port/bindings/rules-a.mjs and rules-benny.mjs after that row	A reviewer read the two numbers as a contradiction; both were true when measured, and the difference is explained by the later split of the binding table	npm run parity:check now prints 134/134 rules fired	explained; no artifact change
2026-09-15T22:01:00.780Z	rebase	Rebased refactor/agents-md-conformance onto origin/master by dropping commits af97639 and 6c29758 from the replay list instead of resolving them as conflicts	Master PR #5 was a squash whose content is byte-identical to those two branch commits, so replaying them would re-add already-merged content and conflict on 10 files. The conflicts were a symptom of duplicated history, not divergent edits.	diff <(git diff f22403e 57f70b1 -- 10 files) <(git diff f22403e 6c29758 -- 10 files) reports IDENTICAL; git diff backup/pre-rebase-dup-drop HEAD is empty; npm test 7/7 layers pass; npm run parity:check 0 drift	Branch is 0 behind / 26 ahead of origin/master. Tree is identical to pre-rebase HEAD. No content lost, no textual conflict resolution needed.
2026-09-15T22:05:02.880Z	push	Force-pushed rebased refactor/agents-md-conformance with an explicit --force-with-lease pinned to 2154e0b, after asserting local tree == pre-rebase tree	Explicit lease guarantees the push only overwrites the exact verified commit, so any concurrent push would abort rather than be discarded. Result must be proven at the wire level, not by push exit code.	pre-push: local 1f28f3a tree d87d638 == backup tree d87d638; live remote 2154e0b; push output "2154e0b...1f28f3a (forced update)"; post-push remote tree d87d638 matches backup; two-dot diff vs master 73 files 5606/3254 identical before and after; commit subjects 28 to 26 with exactly the 2 dupes gone and 0 gained	PR #6 head 1f28f3a, MERGEABLE, 73 files, 26 commits. Content byte-identical to pre-rebase head. No file added or lost.
2026-09-16T00:12:44.885Z	acceptance	Drive the real composition root (extensions/index.ts) through a fake Pi host and stub child agents at the process.argv[1] seam	The workflows are handler behavior; a fake host keeps events deterministic while the child stub exposes the real argv and worktree cwd the tools build instead of a mock echo	tests/acceptance/run.mjs (createHost/makePiFacade, STUB_CHILD_SOURCE)	11/12 scenarios PASS, 123 assertions, 0 conformance violations
2026-09-16T00:12:44.886Z	acceptance	Keep the recall scenario offline by shadowing gh with an exit-1 stub on PATH and running real git in a real temp repo	pstack_sessions action=recall shells out to gh (network); a stub keeps the corpus merge deterministic and network-free while git log still exercises the real code path	tests/acceptance/run.mjs installFakeGh + runGit; scenario 11	corpus=sessions,git-log,gh-prs,ranked-merge hits=2 top=session gh=skipped-offline
2026-09-16T00:12:47.477Z	acceptance	Report scenario 9 as FAIL instead of widening the autonomous-run cue list	The brief forbids editing extensions/**; the phrase "run this autonomously" is absent from the autonomous-run cues while the canonical "run until done" routes, so the contract gap is the finding	entry.playbook observed=undefined expected=autonomous-run; canonical-cue=run-until-done passes on the same host	acceptance exits 1 with 1 failed scenario; one-line fix is a cue in extensions/sticky-playbook.ts (out of scope per brief)
2026-09-16T00:16:17.546Z	m3-dod	Apply the configured reasoning budget at role resolution instead of leaving it recorded-only	/setup-pstack wrote a budget field that no code consumed, so DoD 5 was only half true	extensions/models/budget.ts:43, models-09 row, npm run spec:gate rc=0	Selector carries the Pi thinking level; real child spawn with --model deepseek-flash:minimal returned ok
2026-09-16T00:16:17.546Z	m3-dod	Require every ADAPTED-EQUIVALENT row to name its Cursor mechanism, and let twin-backed ceilings be ADAPTED	DoD 13 wants the Cursor mechanism identifiable per row, and an exception is only honest when no reasonable approach reproduces the behavior	spec/spec-check.mjs checkMechanismAttribution, spec/mechanisms.tsv, ceiling-07/10/11/12	34 rows relabelled, 3 mechanisms added, APPROVED-EXCEPTION 6 to 2, checker enforces both rules
2026-09-16T00:16:17.546Z	m3-dod	Execute the pinned reference's own code in the release gate	The Cursor account is over its agent usage limit, so the reference's agent turn cannot run, but its scripts are plain Bun programs	tests/differential.mjs, spec/differential-results.json, cursor-agent ActionRequiredError exit 1	4 differential cases equal in 0.5s; mutation of the upstream help text flips the gate to exit 1
2026-09-16T00:16:17.547Z	m3-dod	Fix the autonomy cue and the setup-pstack double registration in code, not in the acceptance test	The acceptance run surfaced both: the DoD's own phrase did not route, and the skill shim claimed a name the models command owns	extensions/sticky-playbook.ts:140, extensions/commands/skill-commands.ts:139, tests/acceptance/run.mjs scenario 9	acceptance 12/12 with 123 assertions, global-dups=none, commands-07 row added
2026-09-16T00:42:13.706Z	user-journey-suite/design	Feature playbook; suite = runtime-derived behavior inventory + 16-journey registry + OR-contract gate (80% behavior or all critical journeys)	A hand-listed inventory can be padded to hit 80%; deriving units from registered tools/commands keeps the metric honest and self-maintaining as the surface grows. The OR wording is the user's contract, so the gate reports both limbs.	.pi/user-journeys/INTERFACE.md	contract frozen; W1 building pipeline
2026-09-16T00:42:13.706Z	user-journey-suite/design	Skip architect parallel design exploration; skip arena for the contract shape	The repo already fixes the harness pattern (tests/acceptance/run.mjs) and the data shape is a registry + derived inventory; the alternatives (per-journey bespoke hosts, hand-listed coverage) are strictly worse on reviewability or honesty. Recorded rather than folded silently into implementation.	.pi/user-journeys/INTERFACE.md module map	single design, reviewed before build
2026-09-16T01:06:51.646Z	user-journey-suite/land	Ship the suite as PR #9 against fix/parity-defects; act on the comment review with two commits	Base is the branch the work forked from, so the PR diff is the suite. The review's root causes got real fixes (lazy benny wake path, required expectedJourneyIds, shared processExec, real settle/interval fires) instead of comment rewrites.	https://github.com/just-joshn/pi-pstack/pull/9; layer 8: journeys=16/16 behavior=92/92 verdict=PASS	PR open, ready; no babysit started per the playbook
2026-09-16T16:30:13.960Z	S1-compat	compat/parity.json is generated from the existing spec/contracts/*.tsv ledger; compat:check fails on stale output. No second hand-maintained source of truth.	The ledger is 239 rows at 100% coverage of the repo's own gate. Rewriting it into JSON would discard verified work for a format change. Laziness Protocol: minimize the diff; generate the projection instead.	.pi/refactor/RECON.md sections 3 and 4; spec/SPEC.md section 1 row grammar	S1 delegate briefed; staleness check is the enforcement
2026-09-16T16:30:13.961Z	S1-compat	Keep existing extensions/ directory names; add new directories only for new responsibility boundaries (agents/, integrations/, hosted/, loop/ run store) and document the mapping to the mandate's conceptual structure.	The mandate permits adapting boundaries to the repo when there is a strong reason. Renaming 15 extension dirs is churn with no behavioral gain and breaks 8 test layers. Laziness Protocol and Subtract Before You Add: build on the simpler existing base.	.pi/refactor/RECON.md section 5; extensions/ tree; tests/registry.mjs layers	Mapping documented in RECON.md; new dirs created only where behavior is new
2026-09-16T16:30:13.962Z	run-shape	Stages run sequentially, one writer at a time in the main cwd; read-only fan-out only for recon and review.	Every stage touches shared gate files (package.json, tests/registry.mjs, ledger). Separate Before You Serializing Shared State: eliminate concurrent writers rather than locking. Guard the Context Window: sequential review keeps the lead's context on summaries and diffs, not raw payloads.	.pi/refactor/PLAN.md delegation rules	S1 spawned alone; later stages queue behind its review
2026-09-16T16:34:04.256Z	S1-compat	parity.json rows = ledger-projected behavioral rows PLUS one inventory row per in-scope upstream artifact	The inventory gate must fail when the pinned tree gains an artifact, and the current ledger names only 6 upstream paths. Per-artifact rows are the only shape that makes coverage and drift detection meaningful while leaving the ledger untouched.	.pi/refactor/RECON.md §4; spec/contracts upstream column has 6 distinct paths	generate.mjs enumerates the pinned tree for inventory rows; ledger rows keep the mandated id/field mapping
2026-09-16T16:34:04.257Z	S1-compat	capability status is implemented when a capability has zero non-EXCLUDED rows	Vacuously marking ceiling-only capabilities 9 and 12 verified would claim parity the scorecard calls NOT.	spec/surfaces.tsv capability 9,12 = ceiling; PARITY.md scorecard rows 9 and 12 are NOT	capabilities 9 and 12 report status implemented and hostedRequired true
2026-09-16T16:42:59.413Z	S2-task-policy	policy.ts imports no module that performs I/O; READONLY_TOOLS moved into policy.ts and re-exported by child-runner.ts.	The brief calls policy.ts a pure module with no I/O. Importing READONLY_TOOLS from child-runner pulled node:child_process and node:fs into its module graph. Inverting ownership keeps one source for the read allowlist and makes policy.ts depend only on models/budget.ts.	extensions/agents/policy.ts:20; extensions/subagents/child-runner.ts:16; git diff stat 116 lines removed from child-runner	conformance 0 violations; layer 1 green except pre-existing sticky-06
