id	surface	status	kind	name	obligation	verification	upstream	reference	finding	class
deslop-02	deslop	VERIFIED	behavior	-	Validate the scanner base ref parameter to reject leading dashes, dots, and whitespace, defaulting to main.	test@tests/layers/01-unit/deslop-contracts.test.ts@deslop-02	skills/poteto-mode/playbooks/opening-a-pr.md	extensions/companions/index.ts:258	-	EXACT-CONTRACT
deslop-03	deslop	VERIFIED	behavior	-	Include both the committed differences from base to HEAD and any unstaged working tree edits in the diff source.	test@tests/layers/01-unit/deslop-contracts.test.ts@deslop-03	skills/poteto-mode/playbooks/opening-a-pr.md	extensions/companions/index.ts:260	-	EXACT-CONTRACT
deslop-04	deslop	VERIFIED	behavior	-	Enforce exactly 19 slop rules categorized into high, medium, and low severities.	test@tests/layers/01-unit/deslop-contracts.test.ts@deslop-04	skills/poteto-mode/playbooks/opening-a-pr.md	extensions/companions/deslop-core.ts:19	-	EXACT-CONTRACT
deslop-05	deslop	VERIFIED	behavior	-	Delete only high-confidence safe comments like narration and empty lines when applySafe is enabled.	test@tests/layers/01-unit/deslop-contracts.test.ts@deslop-05	skills/poteto-mode/playbooks/opening-a-pr.md	extensions/companions/deslop-core.ts:171	-	EXACT-CONTRACT
deslop-06	deslop	VERIFIED	behavior	-	Override both applySafe and autoApply to simulate deletes without mutating files when dryRun is true.	test@tests/layers/01-unit/deslop-contracts.test.ts@deslop-06	skills/poteto-mode/playbooks/opening-a-pr.md	extensions/companions/index.ts:270	-	EXACT-CONTRACT
deslop-07	deslop	VERIFIED	behavior	-	Prompt for UI confirmation before performing safe deletions when autoApply is true.	test@tests/layers/01-unit/deslop-contracts.test.ts@deslop-07	skills/poteto-mode/playbooks/opening-a-pr.md	extensions/companions/index.ts:275	-	EXACT-CONTRACT
deslop-08	deslop	VERIFIED	command	/deslop	Queue a prompt string instructing the agent to run pstack_deslop and the unslop skill when /deslop is executed.	test@tests/layers/01-unit/deslop-contracts.test.ts@deslop-08	skills/poteto-mode/playbooks/opening-a-pr.md	extensions/companions/index.ts:376	-	EXACT-CONTRACT
control-01	control	VERIFIED	tool	pstack_control_cli	Accept an argv array and validate its base command against the fixed 16-name executor allowlist, rejecting an unknown command and a dashed base.	test@tests/layers/01-unit/control-contracts.test.ts@control-01	mechanism:control-cli	extensions/companions/index.ts:288	-	ADAPTED-EQUIVALENT
control-02	control	VERIFIED	behavior	-	Execute the CLI command without a shell and truncate output to 50000 characters.	test@tests/layers/01-unit/control-contracts.test.ts@control-02	mechanism:control-cli	extensions/companions/index.ts:327	-	ADAPTED-EQUIVALENT
control-03	control	VERIFIED	tool	pstack_control_ui	Probe an HTTP URL using the requested method and expected status without driving a real browser.	test@tests/layers/01-unit/control-contracts.test.ts@control-03	mechanism:control-ui	extensions/companions/index.ts:335	-	ADAPTED-EQUIVALENT
control-04	control	VERIFIED	behavior	-	Return the HTTP response status and body snippet as the probe result.	test@tests/layers/01-unit/control-contracts.test.ts@control-04	mechanism:control-ui	extensions/companions/index.ts:350	-	ADAPTED-EQUIVALENT
benny-01	benny	VERIFIED	tool	pstack_benny_wake	Accept append, drain, or path actions to manage automation payloads.	test@tests/layers/01-unit/benny-contracts.test.ts@benny-01	mechanism:automations-slack	extensions/benny/index.ts:64	-	ADAPTED-EQUIVALENT
benny-02	benny	VERIFIED	behavior	-	Write a JSONL payload with timestamp and intent to the pstack-benny-wakes.jsonl file on append.	test@tests/layers/01-unit/benny-contracts.test.ts@benny-02	mechanism:automations-slack	extensions/benny/index.ts:80	-	ADAPTED-EQUIVALENT
benny-03	benny	VERIFIED	behavior	-	Return all pending payload lines and truncate the wake file to empty on drain.	test@tests/layers/01-unit/benny-contracts.test.ts@benny-03	mechanism:automations-slack	extensions/benny/index.ts:90	-	ADAPTED-EQUIVALENT
benny-04	benny	VERIFIED	command	/setup-benny	Instruct the agent to read and follow the setup-benny SKILL.md when /setup-benny is executed.	test@tests/layers/01-unit/benny-contracts.test.ts@benny-04	mechanism:grok-bot	extensions/benny/index.ts:25	-	ADAPTED-EQUIVALENT
benny-05	benny	VERIFIED	command	/benny-triage	Send the triage skill path for immediate evaluation when /benny-triage is executed.	test@tests/layers/01-unit/benny-contracts.test.ts@benny-05	mechanism:grok-bot	extensions/benny/index.ts:40	-	ADAPTED-EQUIVALENT
benny-06	benny	VERIFIED	command	/benny-repro	Send the repro skill path along with the provided issue context when /benny-repro is executed.	test@tests/layers/01-unit/benny-contracts.test.ts@benny-06	mechanism:grok-bot	extensions/benny/index.ts:52	-	ADAPTED-EQUIVALENT
benny-07	benny	VERIFIED	behavior	-	The benny pipeline must be drivable from the wake file by pstack_loop so a worker without an Automations host can enqueue work.	test@tests/layers/01-unit/benny-contracts.test.ts@benny-07	mechanism:automations-slack	extensions/benny/index.ts:76	-	ADAPTED-EQUIVALENT
ceiling-01	ceiling	EXCLUDED	ceiling	-	Cursor marketplace installs need Cursor's own registry and .cursor-plugin loader, and no Pi API registers a marketplace, so the package installs from the Pi manifest and the content surface stays the twin.	twin@content	mechanism:marketplace	-	-	APPROVED-EXCEPTION
ceiling-02	ceiling	EXCLUDED	ceiling	-	Cloud agent VMs and the remote cloud environment are out of scope for Pi's local tree; the hosted execution path is the services/worker service proven by tests/hosted, and the local fallback remains the worktree surface with isolated local worktrees.	twin@worktree	mechanism:cloud-agents	services/worker/server.mjs:1	-	HOSTED-CAPABILITY-REQUIRED
ceiling-03	ceiling	EXCLUDED	ceiling	-	The Automations Slack bus and direct message integrations are out of scope; the hosted execution path is the services/worker service proven by tests/hosted, and the local fallback remains the benny surface with its webhook receiver.	twin@benny	mechanism:automations-slack	services/worker/server.mjs:1	-	HOSTED-CAPABILITY-REQUIRED
ceiling-04	ceiling	EXCLUDED	ceiling	-	Grok Bot routines and built-in secret-request cards are out of scope; the hosted execution path is the services/worker service proven by tests/hosted, and the local fallback remains the benny surface.	twin@benny	mechanism:grok-bot	services/worker/server.mjs:1	-	HOSTED-CAPABILITY-REQUIRED
ceiling-05	ceiling	EXCLUDED	ceiling	-	The mcps/ directory and MCP capability inheritance need a host with an MCP client; Pi's documented surface ships none, so a provisioned MCP-capable host is required via the services/worker execution path proven by tests/hosted, and the local fallback remains the spawn surface's child-policy twin.	twin@spawn	mechanism:mcp	services/worker/server.mjs:1	-	HOSTED-CAPABILITY-REQUIRED
ceiling-06	ceiling	EXCLUDED	ceiling	-	Cursor renders reminder, mode, icon, and color from skill frontmatter natively. Pi's skill loader reads only name, description, and disable-model-invocation, so this tree parses those chrome keys from the SKILL.md itself in extensions/lib/skill-chrome.ts and renders icon and color through ctx.ui.setStatus, with the reminder carried by the sticky inject.	twin@sticky	mechanism:sticky-host	services/worker/server.mjs:1	-	ADAPTED-EQUIVALENT
ceiling-07	ceiling	EXCLUDED	ceiling	-	Cursor's built-in /loop owns the wake chrome and cadence; the loop surface reproduces the wake contract across interval, settle, watcher, and dynamic modes.	twin@loop	mechanism:/loop	-	-	ADAPTED-EQUIVALENT
ceiling-08	ceiling	EXCLUDED	ceiling	-	Durable background jobs that survive process restarts are out of scope for the local registry; the hosted execution path is the services/worker durable run store proven by tests/hosted, and the local fallback remains the jobs surface.	twin@jobs	mechanism:durable-jobs	services/worker/store.mjs:1	-	HOSTED-CAPABILITY-REQUIRED
ceiling-09	ceiling	EXCLUDED	ceiling	-	Full Electron and IDE driving via control-ui is out of scope; the hosted execution path is the services/worker service proven by tests/hosted, and the local fallback remains the control surface.	twin@control	mechanism:ide-driving	services/worker/server.mjs:1	-	HOSTED-CAPABILITY-REQUIRED
ceiling-10	ceiling	EXCLUDED	ceiling	-	Cursor's always-applied .mdc rules engine loads pstack-models.mdc; the models surface appends the validated roles section on every before_agent_start, which reproduces the effect.	twin@models	mechanism:mdc-rules	-	-	ADAPTED-EQUIVALENT
ceiling-11	ceiling	EXCLUDED	ceiling	-	Cursor's per-project transcript directory is host storage; the sessions surface reproduces the recall contract over Pi's own session store with list, grep, current, and recall.	twin@sessions	mechanism:transcript-store	-	-	ADAPTED-EQUIVALENT
ceiling-12	ceiling	EXCLUDED	ceiling	-	Neither host passes parent conversation history or MCP to children; a child receives only the argv and environment its caller sets, which the spawn surface verifies.	twin@spawn	mechanism:history-inheritance	-	-	ADAPTED-EQUIVALENT
ceiling-13	ceiling	VERIFIED	behavior	-	test@tests/hosted/worker.test.mjs@a duplicate idempotency key returns the same attempt and executes once	gate@test:hosted	mechanism:durable-jobs	services/worker/server.mjs:1	-	ADAPTED-EQUIVALENT
ceiling-14	ceiling	VERIFIED	behavior	-	test@tests/hosted/failure-modes.test.mjs@a completion from a stale attempt is rejected	gate@test:hosted	mechanism:durable-jobs	services/worker/server.mjs:1	-	ADAPTED-EQUIVALENT
ceiling-15	ceiling	VERIFIED	behavior	-	test@tests/hosted/failure-modes.test.mjs@cancel during a hung execution records cancelled and fires the abort signal	gate@test:hosted	mechanism:durable-jobs	services/worker/server.mjs:1	-	ADAPTED-EQUIVALENT
ceiling-16	ceiling	VERIFIED	behavior	-	test@tests/hosted/failure-modes.test.mjs@a run past timeoutMs is marked timed_out	gate@test:hosted	mechanism:durable-jobs	services/worker/server.mjs:1	-	ADAPTED-EQUIVALENT
ceiling-17	ceiling	VERIFIED	behavior	-	test@tests/hosted/failure-modes.test.mjs@a restart reconciles a dead lease without losing the partial output	gate@test:hosted	mechanism:durable-jobs	services/worker/store.mjs:1	-	ADAPTED-EQUIVALENT
ceiling-18	ceiling	VERIFIED	behavior	-	test@tests/hosted/failure-modes.test.mjs@parent shutdown does not cancel a durable run	gate@test:hosted	mechanism:durable-jobs	services/worker/server.mjs:1	-	ADAPTED-EQUIVALENT
sessions-11	sessions	VERIFIED	behavior	-	Require the action parameter to be exactly list, grep, current, or recall.	test@tests/layers/01-unit/sessions-contracts.test.ts@sessions-11	mechanism:transcript-store	extensions/sessions/index.ts:193	-	ADAPTED-EQUIVALENT
sessions-12	sessions	VERIFIED	behavior	-	Accept a query parameter for filtering results in grep and recall actions.	test@tests/layers/01-unit/sessions-contracts.test.ts@sessions-12	mechanism:transcript-store	extensions/sessions/index.ts:194	-	ADAPTED-EQUIVALENT
sessions-13	sessions	VERIFIED	behavior	-	Constrain the limit parameter between 1 and 100 with a default of 20.	test@tests/layers/01-unit/sessions-contracts.test.ts@sessions-13	mechanism:transcript-store	extensions/sessions/index.ts:195	-	ADAPTED-EQUIVALENT
sessions-14	sessions	VERIFIED	behavior	-	Constrain the days parameter between 1 and 365 with a default of 7.	test@tests/layers/01-unit/sessions-contracts.test.ts@sessions-14	mechanism:transcript-store	extensions/sessions/index.ts:196	-	ADAPTED-EQUIVALENT
sessions-15	sessions	VERIFIED	behavior	-	Prioritize corpus directories in the order of the cwd .pi/sessions directory, the home agent sessions directory, the home sessions directory, and finally PI_SESSION_DIR.	test@tests/layers/01-unit/sessions-contracts.test.ts@sessions-15	mechanism:transcript-store	extensions/sessions/index.ts:23	-	ADAPTED-EQUIVALENT
sessions-16	sessions	VERIFIED	behavior	-	Cap the session file walk at the 200 most recently modified files sorted by mtime.	test@tests/layers/01-unit/sessions-contracts.test.ts@sessions-16	mechanism:transcript-store	extensions/sessions/index.ts:28	-	ADAPTED-EQUIVALENT
sessions-17	sessions	VERIFIED	behavior	-	Format the recall action output into four distinct sections for ranked merge, raw sessions, git log, and gh PRs.	test@tests/layers/01-unit/sessions-contracts.test.ts@sessions-17	mechanism:transcript-store	extensions/sessions/index.ts:213	-	ADAPTED-EQUIVALENT
deslop-09	deslop	VERIFIED	behavior	-	Default the base parameter to main when not explicitly provided.	test@tests/layers/01-unit/deslop-contracts.test.ts@deslop-09	skills/poteto-mode/playbooks/opening-a-pr.md	extensions/companions/index.ts:258	-	EXACT-CONTRACT
deslop-10	deslop	VERIFIED	behavior	-	Accept a paths array parameter to restrict the scope of the diff scan.	test@tests/layers/01-unit/deslop-contracts.test.ts@deslop-10	skills/poteto-mode/playbooks/opening-a-pr.md	extensions/companions/index.ts:259	-	EXACT-CONTRACT
deslop-11	deslop	VERIFIED	behavior	-	Accept an applySafe boolean parameter to execute file mutations.	test@tests/layers/01-unit/deslop-contracts.test.ts@deslop-11	skills/poteto-mode/playbooks/opening-a-pr.md	extensions/companions/index.ts:265	-	EXACT-CONTRACT
deslop-12	deslop	VERIFIED	behavior	-	Accept an autoApply boolean parameter to trigger a UI confirmation prompt for file mutations.	test@tests/layers/01-unit/deslop-contracts.test.ts@deslop-12	skills/poteto-mode/playbooks/opening-a-pr.md	extensions/companions/index.ts:275	-	EXACT-CONTRACT
deslop-13	deslop	VERIFIED	behavior	-	Accept a dryRun boolean parameter to report mutations without writing files.	test@tests/layers/01-unit/deslop-contracts.test.ts@deslop-13	skills/poteto-mode/playbooks/opening-a-pr.md	extensions/companions/index.ts:270	-	EXACT-CONTRACT
deslop-14	deslop	VERIFIED	behavior	-	Cap the total number of suggestions returned by the diff scan at 80.	test@tests/layers/01-unit/deslop-contracts.test.ts@deslop-14	skills/poteto-mode/playbooks/opening-a-pr.md	extensions/companions/deslop-core.ts:40	-	EXACT-CONTRACT
deslop-15	deslop	VERIFIED	behavior	-	Limit the number of reported sample offending lines to 5 per slop rule.	test@tests/layers/01-unit/deslop-contracts.test.ts@deslop-15	skills/poteto-mode/playbooks/opening-a-pr.md	extensions/companions/deslop-core.ts:45	-	EXACT-CONTRACT
deslop-16	deslop	VERIFIED	behavior	-	Constrain the suggested fix blocks to a maximum of 25 lines.	test@tests/layers/01-unit/deslop-contracts.test.ts@deslop-16	skills/poteto-mode/playbooks/opening-a-pr.md	extensions/companions/deslop-core.ts:50	-	EXACT-CONTRACT
control-05	control	VERIFIED	behavior	-	Require the control_cli argv parameter to be an array with at least one element.	test@tests/layers/01-unit/control-contracts.test.ts@control-05	mechanism:control-cli	extensions/companions/index.ts:289	-	ADAPTED-EQUIVALENT
control-06	control	VERIFIED	behavior	-	Accept an optional cwd parameter for the control_cli execution.	test@tests/layers/01-unit/control-contracts.test.ts@control-06	mechanism:control-cli	extensions/companions/index.ts:290	-	ADAPTED-EQUIVALENT
control-07	control	VERIFIED	behavior	-	Constrain the control_cli timeoutSeconds parameter between 1 and 600 with a default of 120.	test@tests/layers/01-unit/control-contracts.test.ts@control-07	mechanism:control-cli	extensions/companions/index.ts:291	-	ADAPTED-EQUIVALENT
control-08	control	VERIFIED	behavior	-	Require the url parameter for the control_ui HTTP probe.	test@tests/layers/01-unit/control-contracts.test.ts@control-08	mechanism:control-ui	extensions/companions/index.ts:336	-	ADAPTED-EQUIVALENT
control-09	control	VERIFIED	behavior	-	Default the control_ui method parameter to GET.	test@tests/layers/01-unit/control-contracts.test.ts@control-09	mechanism:control-ui	extensions/companions/index.ts:337	-	ADAPTED-EQUIVALENT
control-10	control	VERIFIED	behavior	-	Accept an optional expectStatus parameter for the control_ui probe.	test@tests/layers/01-unit/control-contracts.test.ts@control-10	mechanism:control-ui	extensions/companions/index.ts:338	-	ADAPTED-EQUIVALENT
benny-08	benny	VERIFIED	behavior	-	Parse the payload string as JSON when possible and store it as a raw string otherwise.	test@tests/layers/01-unit/benny-contracts.test.ts@benny-08	mechanism:automations-slack	extensions/benny/index.ts:85	-	ADAPTED-EQUIVALENT
benny-09	benny	VERIFIED	behavior	-	Default the intent parameter to triage.	test@tests/layers/01-unit/benny-contracts.test.ts@benny-09	mechanism:automations-slack	extensions/benny/index.ts:86	-	ADAPTED-EQUIVALENT
benny-10	benny	VERIFIED	behavior	-	Locate the wake file explicitly under the Pi agent directory.	test@tests/layers/01-unit/benny-contracts.test.ts@benny-10	mechanism:automations-slack	extensions/benny/index.ts:21	-	ADAPTED-EQUIVALENT
